timestamp,raw_hex,command,battery,charging,ax,ay,az,roll,pitch,yaw,pressure,punch_count,reserved_1,reserved_2,crc8,crc8_calc,crc8_ok
2026-04-27 11:00:04.903,D5 5D 03 64 00 10 00 00 00 F7 00 B3 00 B0 00 D3 00 00 01 14 00 01 99,3,100,0,16,0,247,179,176,211,256,20,0,1,153,153,True
2026-04-27 11:00:05.142,D5 5D 03 64 00 0D 00 00 00 F1 00 B2 00 B0 00 D3 00 00 01 14 00 01 99,3,100,0,13,0,241,178,176,211,256,20,0,1,153,137,False
2026-04-27 11:00:05.263,D5 5D 03 64 00 03 00 00 00 FD 00 B5 00 B0 00 D2 00 00 01 14 00 01 99,3,100,0,3,0,253,181,176,210,256,20,0,1,153,111,False
2026-04-27 11:00:05.383,D5 5D 03 64 00 0A 00 00 00 F9 00 B3 00 AF 00 CF 00 00 01 14 00 01 99,3,100,0,10,0,249,179,175,207,256,20,0,1,153,57,False
2026-04-27 11:00:05.503,D5 5D 03 64 00 00 00 00 00 31 00 B0 00 DE 00 8F 00 00 01 14 00 01 99,3,100,0,0,0,49,176,222,143,256,20,0,1,153,101,False
2026-04-27 11:00:05.621,D5 5D 03 64 00 F5 00 FE 00 B1 00 D2 00 DC 00 C3 00 00 01 14 00 01 99,3,100,0,245,254,177,210,220,195,256,20,0,1,153,44,False
2026-04-27 11:00:05.863,D5 5D 03 64 00 28 00 00 00 3A 00 A4 00 9C 00 AC 00 00 01 14 00 01 99,3,100,0,40,0,58,164,156,172,256,20,0,1,153,126,False
2026-04-27 11:00:05.983,D5 5D 03 64 00 C4 00 A1 00 B2 00 5E 00 E1 00 A9 00 00 01 15 00 01 99,3,100,0,196,161,178,94,225,169,256,21,0,1,153,104,False
2026-04-27 11:00:06.222,D5 5D 03 64 00 37 00 00 00 DE 00 6E 00 F8 00 CD 00 00 01 15 00 01 99,3,100,0,55,0,222,110,248,205,256,21,0,1,153,245,False
2026-04-27 11:00:06.342,D5 5D 03 64 00 63 00 00 00 17 00 BF 00 A8 00 55 00 00 01 15 00 01 99,3,100,0,99,0,23,191,168,85,256,21,0,1,153,225,False
2026-04-27 11:00:06.463,D5 5D 03 64 00 CB 00 00 00 82 00 44 01 65 00 2F 01 00 01 16 00 01 99,3,100,0,203,0,130,324,101,303,256,22,0,1,153,15,False
2026-04-27 11:00:06.823,D5 5D 03 64 00 00 00 00 00 C7 00 68 00 B3 00 FF 00 00 01 17 00 01 99,3,100,0,0,0,199,104,179,255,256,23,0,1,153,78,False
2026-04-27 11:00:06.943,D5 5D 03 64 00 96 00 2F 00 AB 00 6A 00 FE 00 60 00 00 01 17 00 01 99,3,100,0,150,47,171,106,254,96,256,23,0,1,153,113,False
2026-04-27 11:00:07.183,D5 5D 03 64 00 0B 00 00 00 1D 00 97 00 7C 00 C9 00 00 01 17 00 01 99,3,100,0,11,0,29,151,124,201,256,23,0,1,153,129,False
